2026-05-06 19:57:21,079 - [RAG] - 文件处理: 中国心力衰竭诊断和治疗指南2024.pdf | 41段 -> 213块 | 策略: 医疗指南策略 | 耗时: 30ms
2026-05-06 21:36:03,301 - [RAG] - 检索: '离婚需要什么条件？' | 结果数: 5 | 耗时: 7604ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:36:31,622 - [RAG] - 检索: '我是个老师' | 结果数: 5 | 耗时: 7792ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:37:00,149 - [RAG] - 检索: '我是什么职业' | 结果数: 5 | 耗时: 1266ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:37:26,148 - [RAG] - 检索: '你好' | 结果数: 5 | 耗时: 1068ms | 来源: 高血压基层医防融合服务规范.pdf, 高血压基层医防融合服务规范.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
2026-05-06 21:39:34,794 - [RAG] - 检索: '我是王老师，外号帅哥' | 结果数: 5 | 耗时: 8018ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf, 高血压基层医防融合服务规范.pdf
2026-05-06 21:40:33,731 - [RAG] - 检索: '我是什么职业，外号是什么' | 结果数: 5 | 耗时: 7772ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:53:14,066 - [RAG] - 检索: '欠款不还，怎么办' | 结果数: 5 | 耗时: 8170ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:54:03,260 - [RAG] - 检索: '离婚' | 结果数: 5 | 耗时: 7375ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 21:56:07,183 - [RAG] - 检索: '我是个老师，外号：帅哥' | 结果数: 5 | 耗时: 7762ms | 来源: 中国肺动脉高压诊断与治疗指南（2021版）.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf, 高血压基层医防融合服务规范.pdf
2026-05-06 21:56:47,266 - [RAG] - 检索: '我是什么职业，外号是什么' | 结果数: 5 | 耗时: 8063ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 22:03:29,320 - [RAG] - 检索: '未成年人' | 结果数: 5 | 耗时: 7821ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-06 22:08:40,364 - [RAG] - 检索: '打架的后果' | 结果数: 5 | 耗时: 7966ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-07 08:18:31,618 - [RAG] - 检索: '欠款可以如何讨回' | 结果数: 5 | 耗时: 11918ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-07 08:28:42,170 - [RAG] - 检索: '抑郁那怎么办？' | 结果数: 5 | 耗时: 7928ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf
2026-05-07 08:33:02,755 - [RAG] - 文件处理: test_upload.txt | 1段 -> 0块 | 策略: 通用策略 | 耗时: 6ms
2026-05-07 08:33:02,806 - [RAG] - 文件处理: 中国心力衰竭诊断和治疗指南2024.pdf | 41段 -> 213块 | 策略: 医疗指南策略 | 耗时: 50ms
2026-05-07 08:33:02,846 - [RAG] - 文件处理: 中国肺动脉高压诊断与治疗指南（2021版）.pdf | 41段 -> 239块 | 策略: 医疗指南策略 | 耗时: 39ms
2026-05-07 08:33:02,858 - [RAG] - 文件处理: 高血压基层医防融合服务规范.pdf | 7段 -> 32块 | 策略: 医疗指南策略 | 耗时: 10ms
2026-05-07 08:33:02,913 - [RAG] - 文件处理: 中华人民共和国民法典_20200528.docx | 175段 -> 176块 | 策略: 法律条文策略 | 耗时: 54ms
2026-05-07 08:40:34,931 - [RAG] - 检索: '抑郁怎么办？' | 结果数: 5 | 耗时: 9896ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf, 中国心力衰竭诊断和治疗指南2024.pdf
2026-05-07 13:53:42,409 - [RAG] - 检索: '离婚' | 结果数: 5 | 耗时: 7160ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-07 14:55:11,962 - [RAG] - 检索: '彩礼可以退吗' | 结果数: 5 | 耗时: 9683ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-07 15:07:09,802 - [RAG] - 检索: '欠款问题' | 结果数: 5 | 耗时: 8607ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-29 11:16:04,626 - [RAG] - 文件处理: test_upload.txt | 1段 -> 0块 | 策略: 通用策略 | 耗时: 3ms
2026-05-29 11:16:04,654 - [RAG] - 文件处理: 中国心力衰竭诊断和治疗指南2024.pdf | 41段 -> 213块 | 策略: 医疗指南策略 | 耗时: 27ms
2026-05-29 11:16:04,684 - [RAG] - 文件处理: 中国肺动脉高压诊断与治疗指南（2021版）.pdf | 41段 -> 239块 | 策略: 医疗指南策略 | 耗时: 29ms
2026-05-29 11:16:04,689 - [RAG] - 文件处理: 高血压基层医防融合服务规范.pdf | 7段 -> 32块 | 策略: 医疗指南策略 | 耗时: 4ms
2026-05-29 11:16:04,719 - [RAG] - 文件处理: 中华人民共和国民法典_20200528.docx | 175段 -> 176块 | 策略: 法律条文策略 | 耗时: 29ms
2026-05-29 11:32:33,706 - [RAG] - 检索: '捡到别人的失物怎么办？' | 结果数: 5 | 耗时: 3424ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-29 11:32:39,257 - [RAG] - 检索: '离婚需要什么条件？' | 结果数: 5 | 耗时: 1451ms | 来源: 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx, 中华人民共和国民法典_20200528.docx
2026-05-29 11:32:45,152 - [RAG] - 检索: '我是个老师' | 结果数: 5 | 耗时: 1504ms | 来源: 高血压基层医防融合服务规范.pdf, 中华人民共和国民法典_20200528.docx, 中国心力衰竭诊断和治疗指南2024.pdf
2026-05-29 11:32:54,096 - [RAG] - 检索: '我是什么职业' | 结果数: 5 | 耗时: 1376ms | 来源: 中国肺动脉高压诊断与治疗指南（2021版）.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf, 中国心力衰竭诊断和治疗指南2024.pdf
2026-05-29 11:33:02,428 - [RAG] - 检索: '你好' | 结果数: 5 | 耗时: 1377ms | 来源: 中国心力衰竭诊断和治疗指南2024.pdf, 高血压基层医防融合服务规范.pdf, 中国肺动脉高压诊断与治疗指南（2021版）.pdf
